time,open,high,low,close,volume,day
2026-07-31 19:00:00,14366.0,14366.0,14331.0,14339.0,5347.0,2026-07-31
2026-07-31 19:15:00,14339.0,14358.0,14333.0,14344.0,5048.0,2026-07-31
2026-07-31 19:30:00,14344.0,14350.0,14330.0,14348.0,2458.0,2026-07-31
2026-07-31 19:45:00,14348.0,14358.0,14347.0,14357.0,2093.0,2026-07-31
2026-07-31 20:00:00,14357.0,14368.0,14354.0,14362.0,2114.0,2026-07-31
2026-07-31 20:15:00,14362.0,14378.0,14362.0,14375.0,2618.0,2026-07-31
2026-07-31 20:30:00,14374.0,14382.0,14364.0,14367.0,2132.0,2026-07-31
2026-07-31 20:45:00,14367.0,14377.0,14357.0,14358.0,1556.0,2026-07-31
2026-07-31 21:00:00,14358.0,14369.0,14350.0,14364.0,2164.0,2026-07-31
2026-07-31 21:15:00,14364.0,14369.0,14353.0,14364.0,1519.0,2026-07-31
2026-07-31 21:30:00,14364.0,14366.0,14352.0,14359.0,964.0,2026-07-31
2026-07-31 21:45:00,14359.0,14366.0,14353.0,14363.0,924.0,2026-07-31
2026-07-31 22:00:00,14363.0,14375.0,14359.0,14359.0,2253.0,2026-07-31
2026-07-31 22:15:00,14359.0,14366.0,14351.0,14357.0,1710.0,2026-07-31
2026-07-31 22:30:00,14357.0,14357.0,14341.0,14354.0,3138.0,2026-07-31
2026-07-31 22:45:00,14354.0,14360.0,14347.0,14360.0,2490.0,2026-07-31
2026-07-31 23:00:00,14360.0,14364.0,14342.0,14361.0,2011.0,2026-07-31
2026-07-31 23:15:00,14361.0,14370.0,14356.0,14369.0,4403.0,2026-07-31
2026-08-03 09:00:00,14379.0,14406.0,14375.0,14390.0,6466.0,2026-08-03
2026-08-03 09:15:00,14390.0,14396.0,14380.0,14392.0,2610.0,2026-08-03
2026-08-03 09:30:00,14392.0,14409.0,14392.0,14400.0,3854.0,2026-08-03
2026-08-03 09:45:00,14400.0,14418.0,14400.0,14400.0,3451.0,2026-08-03
2026-08-03 10:00:00,14400.0,14415.0,14400.0,14410.0,1902.0,2026-08-03
2026-08-03 10:15:00,14410.0,14416.0,14395.0,14396.0,1679.0,2026-08-03
2026-08-03 10:30:00,14395.0,14397.0,14382.0,14388.0,1610.0,2026-08-03
2026-08-03 10:45:00,14388.0,14399.0,14381.0,14397.0,1289.0,2026-08-03
2026-08-03 11:00:00,14397.0,14405.0,14388.0,14401.0,1266.0,2026-08-03
2026-08-03 11:15:00,14401.0,14408.0,14385.0,14406.0,1037.0,2026-08-03
2026-08-03 11:30:00,14406.0,14412.0,14393.0,14400.0,1490.0,2026-08-03
2026-08-03 11:45:00,14400.0,14410.0,14400.0,14409.0,976.0,2026-08-03
2026-08-03 12:00:00,14409.0,14412.0,14400.0,14405.0,1259.0,2026-08-03
2026-08-03 12:15:00,14405.0,14409.0,14400.0,14405.0,521.0,2026-08-03
2026-08-03 12:30:00,14405.0,14405.0,14395.0,14398.0,466.0,2026-08-03
2026-08-03 12:45:00,14398.0,14398.0,14381.0,14396.0,2342.0,2026-08-03
2026-08-03 13:00:00,14396.0,14401.0,14390.0,14398.0,471.0,2026-08-03
2026-08-03 13:15:00,14398.0,14403.0,14394.0,14399.0,507.0,2026-08-03
2026-08-03 13:30:00,14399.0,14401.0,14393.0,14399.0,494.0,2026-08-03
2026-08-03 13:45:00,14394.0,14398.0,14384.0,14386.0,1158.0,2026-08-03
2026-08-03 14:00:00,14386.0,14394.0,14382.0,14393.0,1533.0,2026-08-03
2026-08-03 14:15:00,14393.0,14393.0,14388.0,14388.0,395.0,2026-08-03
2026-08-03 14:30:00,14390.0,14401.0,14386.0,14395.0,849.0,2026-08-03
2026-08-03 14:45:00,14395.0,14401.0,14385.0,14385.0,517.0,2026-08-03
2026-08-03 15:00:00,14385.0,14386.0,14370.0,14384.0,3665.0,2026-08-03
2026-08-03 15:15:00,14384.0,14396.0,14380.0,14390.0,1886.0,2026-08-03
2026-08-03 15:30:00,14390.0,14392.0,14381.0,14391.0,1269.0,2026-08-03
2026-08-03 15:45:00,14391.0,14392.0,14386.0,14389.0,485.0,2026-08-03
2026-08-03 16:00:00,14389.0,14390.0,14382.0,14382.0,1072.0,2026-08-03
2026-08-03 16:15:00,14382.0,14387.0,14372.0,14379.0,1853.0,2026-08-03
2026-08-03 16:30:00,14379.0,14380.0,14372.0,14375.0,2043.0,2026-08-03
2026-08-03 16:45:00,14375.0,14381.0,14373.0,14377.0,862.0,2026-08-03
2026-08-03 17:00:00,14377.0,14385.0,14375.0,14382.0,1044.0,2026-08-03
2026-08-03 17:15:00,14382.0,14397.0,14381.0,14395.0,2176.0,2026-08-03
2026-08-03 17:30:00,14395.0,14401.0,14387.0,14390.0,2616.0,2026-08-03
2026-08-03 17:45:00,14390.0,14395.0,14380.0,14381.0,1361.0,2026-08-03
2026-08-03 18:00:00,14381.0,14384.0,14343.0,14351.0,7608.0,2026-08-03
2026-08-03 18:15:00,14341.0,14360.0,14341.0,14352.0,2994.0,2026-08-03
2026-08-03 18:30:00,14352.0,14369.0,14332.0,14342.0,5028.0,2026-08-03
2026-08-03 18:45:00,14342.0,14344.0,14322.0,14329.0,5261.0,2026-08-03
2026-08-03 19:00:00,14329.0,14335.0,14300.0,14324.0,8997.0,2026-08-03
2026-08-03 19:15:00,14324.0,14336.0,14318.0,14334.0,2304.0,2026-08-03
2026-08-03 19:30:00,14326.0,14333.0,14319.0,14329.0,3278.0,2026-08-03
2026-08-03 19:45:00,14329.0,14332.0,14322.0,14327.0,1235.0,2026-08-03
2026-08-03 20:00:00,14326.0,14339.0,14326.0,14338.0,1719.0,2026-08-03
2026-08-03 20:15:00,14338.0,14338.0,14325.0,14333.0,1869.0,2026-08-03
2026-08-03 20:30:00,14333.0,14334.0,14315.0,14324.0,2835.0,2026-08-03
2026-08-03 20:45:00,14324.0,14335.0,14320.0,14326.0,1250.0,2026-08-03
2026-08-03 21:00:00,14326.0,14334.0,14321.0,14329.0,1229.0,2026-08-03
2026-08-03 21:15:00,14330.0,14340.0,14330.0,14331.0,1304.0,2026-08-03
2026-08-03 21:30:00,14331.0,14334.0,14325.0,14328.0,723.0,2026-08-03
2026-08-03 21:45:00,14328.0,14335.0,14325.0,14333.0,1102.0,2026-08-03
2026-08-03 22:00:00,14333.0,14336.0,14330.0,14334.0,571.0,2026-08-03
2026-08-03 22:15:00,14334.0,14336.0,14328.0,14331.0,846.0,2026-08-03
2026-08-03 22:30:00,14331.0,14331.0,14319.0,14326.0,2832.0,2026-08-03
2026-08-03 22:45:00,14326.0,14335.0,14323.0,14331.0,2481.0,2026-08-03
2026-08-03 23:00:00,14331.0,14333.0,14326.0,14332.0,1750.0,2026-08-03
2026-08-03 23:15:00,14330.0,14333.0,14308.0,14327.0,4042.0,2026-08-03
